DateTime,Entries,UniqueIPs
1580608814,219,219
1580610613,384,384
1580612413,615,615
1580614215,818,818
1580616015,1005,1005
1580617816,1104,1104
1580619622,224,224
1580621420,210,210
1580623223,241,241
1580625022,337,337
1580626824,407,407
1580628625,279,279
1580630426,300,300
1580632234,213,213
1580634033,220,220
1580635836,412,412
1580637636,1129,1129
1580639429,1646,1646
1580641232,2637,2637
1580643031,2139,2139
1580644835,561,561
1580646628,830,830
1580648432,1285,1285
1580650229,1519,1519
1580652027,1831,1831
1580653830,2047,2047
1580655639,2085,2085
1580657431,1960,1960
1580659224,1869,1869
1580661031,2747,2747
1580662833,2730,2730
1580664628,1414,1414
1580666427,644,644
1580668223,632,632
1580670024,800,800
1580671823,1202,1202
1580673628,1530,1530
1580675428,1985,1985
1580677221,2241,2241
1580679020,2434,2434
1580680824,2417,2417
1580682620,2860,2860
1580684420,2235,2235
1580686224,825,825
1580688023,708,708
1580689819,721,721
1580691620,1002,1002
1580693421,1223,1223
1580695223,1392,1392
1580697016,1457,1457
1580698818,1471,1471
1580700618,1430,1430
1580702423,1397,1397
1580704219,1232,1232
1580706021,605,605
1580707822,414,414
1580709620,384,384
1580711419,505,505
1580713220,688,688
1580715020,880,880
1580716821,920,920
1580718619,984,984
1580720421,869,869
1580722220,833,833
1580724022,902,902
1580725820,1719,1719
1580727621,2114,2114
1580729420,2761,2761
1580731219,3193,3193
1580733020,3200,3200
1580734818,3273,3273
1580736625,2723,2723
1580738419,2440,2440
1580740222,2337,2337
1580742018,3035,3035
1580743821,3833,3833
1580745618,4246,4246
1580747417,4849,4849
1580749220,5524,5524
1580751019,6289,6289
1580752818,7115,7115
1580754618,7814,7814
1580756416,8422,8422
1580758213,8947,8947
1580760014,9562,9562
1580761813,10156,10156
1580763612,10742,10742
1580765412,11151,11151
1580767209,11728,11728
1580769011,11856,11856
1580770809,12324,12324
1580772609,12191,12191
1580774409,12202,12202
1580776210,12008,12008
1580778008,11911,11911
1580779808,11671,11671
1580781609,11252,11252
1580783405,11204,11204
1580785206,11192,11192
1580787005,11179,11179
1580788805,10723,10723
1580790605,10620,10620
1580792405,10563,10563
1580794205,10434,10434
1580796004,10452,10452
1580797804,10821,10821
1580799605,11132,11132
1580801405,11389,11389
1580803205,11781,11781
1580805005,12100,12100
1580806805,12450,12450
1580808605,12781,12781
1580810405,13202,13202
1580812205,13608,13608
1580814005,14323,14323
1580815805,14535,14535
1580817605,14495,14495
1580819405,13823,13823
1580821207,10168,10168
1580823007,5891,5891
1580824807,4313,4313
1580826607,2953,2953
1580828408,3189,3189
1580830208,3177,3177
1580832008,3600,3600
1580833808,4000,4000
1580835608,4481,4481
1580837408,4930,4930
1580839207,5368,5368
1580841008,5612,5612
1580842808,5804,5804
1580844607,6030,6030
1580846407,6399,6399
1580848207,6697,6697
1580850007,7469,7469
1580851807,8064,8064
1580853608,8489,8489
1580855408,9252,9252
1580857208,9755,9755
1580859008,10185,10185
1580860808,10815,10815
1580862609,11672,11672
1580864407,12267,12267
1580866207,12745,12745
1580868007,12861,12861
1580869805,12872,12872
1580871605,12687,12687
1580873405,12269,12269
1580875204,11745,11745
1580877004,11827,11827
1580878806,11593,11593
1580880605,11433,11433
1580882404,11124,11124
1580884205,9887,9887
1580886005,8570,8570
1580887806,7401,7401
1580889606,6660,6660
1580891406,6247,6247
1580893206,5667,5667
1580895007,5064,5064
1580896808,4504,4504
1580898607,3624,3624
1580900407,3744,3744
1580902208,3459,3459
1580904007,3631,3631
1580905808,3735,3735
1580907608,3911,3911
1580909410,4042,4042
1580911209,3913,3913
1580913007,4089,4089
1580914808,4266,4266
1580916608,4537,4537
1580918408,4727,4727
1580920209,4851,4851
1580922008,5016,5016
1580923808,4908,4908
1580925608,4728,4728
1580927408,4897,4897
1580929209,5701,5701
1580931009,5897,5897
1580932808,6274,6274
1580934608,6599,6599
1580936408,6596,6596
1580938208,6637,6637
1580940008,6753,6753
1580941808,7003,7003
1580943609,7204,7204
1580945409,7632,7632
1580947208,6912,6912
1580949008,7049,7049
1580950808,6983,6983
1580952608,7151,7151
1580954408,7321,7321
1580956208,7373,7373
1580958007,7419,7419
1580959808,7340,7340
1580961607,7252,7252
1580963408,7197,7197
1580965207,7088,7088
1580967007,7073,7073
1580968807,6967,6967
1580970608,6751,6751
1580972407,6442,6442
1580974206,6482,6482
1580976007,6425,6425
1580977807,6361,6361
1580979607,6313,6313
1580981407,6150,6150
1580983207,5763,5763
1580985007,5575,5575
1580986806,5196,5196
1580988606,5211,5211
1580990408,5181,5181
1580992207,5305,5305
1580994007,5304,5304
1580995808,5174,5174
1580997607,5196,5196
1580999407,5296,5296
1581001207,5348,5348
1581003007,5446,5446
1581004807,5620,5620
1581006608,5804,5804
1581008407,5846,5846
1581010208,6139,6139
1581012006,6442,6442
1581013807,6659,6659
1581015608,6665,6665
1581017407,6866,6866
1581019206,7250,7250
1581021008,7487,7487
1581022807,7722,7722
1581024607,8013,8013
1581026406,8276,8276
1581028207,8399,8399
1581030005,8569,8569
1581031805,8757,8757
1581033605,9036,9036
1581035405,9334,9334
1581037205,9608,9608
1581039005,10060,10060
1581040805,10362,10362
1581042605,10569,10569
1581044404,10669,10669
