DateTime,AddedIPs,RemovedIPs
1581049921,2,0
1581050522,2,13
1581051722,2,0
1581052921,3,3
1581054121,0,19
1581055321,1,4
1581055921,4,4
1581056521,5,4
1581057721,5,0
1581058322,2,1
1581058921,1,3
1581060121,5,0
1581060722,7,2
1581061322,3,1
1581061922,1,1
1581063121,2,0
1581063721,3,0
1581064921,5,6
1581066122,2,9
1581067322,3,5
1581067921,2,13
1581069121,1,2
1581070322,4,18
1581070921,4,2
1581071521,9,3
1581072121,6,12
1581073321,3,0
1581073922,5,0
1581074522,1,3
1581075121,6,3
1581075721,8,0
1581076922,5,3
1581078122,8,1
1581079321,2,3
1581079921,16,2
1581081122,14,1
1581081722,1,0
1581082322,4,4
1581083522,8,8
1581084722,9,4
1581085921,9,9
1581087122,5,9
1581088321,7,8
1581088921,6,4
1581090721,5,0
1581091321,5,14
1581091921,6,1
1581093121,3,0
1581094322,6,4
1581094921,1,1
1581096122,2,2
1581097322,3,0
1581097922,6,5
1581098521,7,2
1581099721,4,0
1581100321,2,6
1581100921,9,2
1581102121,4,3
1581103321,7,2
1581103922,13,3
1581104522,4,6
1581105722,3,1
1581106321,7,0
1581106921,17,8
1581107521,4,4
1581108722,6,4
1581109322,4,1
1581110522,8,3
1581111721,5,5
1581112321,7,1
1581113521,6,7
1581114121,0,23
1581115322,5,0
1581117121,3,5
1581117721,8,3
1581118921,2,2
1581119521,11,7
1581120121,12,0
1581120721,4,6
1581121921,6,1
1581122522,5,0
1581123721,1,5
1581124921,2,1
1581126121,6,4
1581127321,5,13
1581128521,6,3
1581129721,3,6
1581130322,3,3
1581131521,9,0
1581132121,2,1
1581133321,6,0
1581133921,3,23
1581135121,8,2
1581135722,2,5
1581136322,8,7
1581136921,7,5
1581137521,5,6
1581139321,9,1
1581140521,2,0
1581141721,1,5
1581142321,4,2
1581143522,7,0
1581144121,1,4
1581145322,9,1
1581146522,8,1
1581147721,5,0
1581148921,2,9
1581150121,11,4
1581151321,13,13
1581152521,6,3
1581153721,0,10
1581154321,13,0
1581155522,12,6
1581156121,8,0
1581156722,4,4
1581157321,9,2
1581158521,5,6
1581159121,16,4
1581160321,4,34
1581160922,3,0
1581161522,5,2
1581162121,3,0
1581163321,3,2
1581163921,8,1
1581164521,7,0
1581165721,2,5
1581166321,6,0
1581166921,3,3
1581168121,10,4
1581169321,4,2
1581170521,3,3
1581171121,4,0
1581171721,2,4
1581172321,1,4
1581173521,5,7
1581174121,4,0
1581175321,6,10
1581175922,1,0
1581177121,9,12
1581177721,1,0
1581178922,9,6
1581179522,2,1
1581180722,2,2
1581181321,7,11
1581182521,1,0
1581183121,7,0
1581183722,3,1
1581184921,6,2
1581185522,4,0
1581186121,5,0
1581186721,5,0
1581187921,6,2
1581188521,2,4
1581189722,4,5
1581190322,3,0
1581191521,3,5
1581192121,8,0
1581192721,6,4
1581193922,7,4
1581194521,3,3
1581195721,4,4
1581196921,13,19
1581198121,5,0
