DateTime,Entries,UniqueIPs
1581049921,8240,8777
1581050522,8229,8766
1581051722,8231,8768
1581052921,8231,8768
1581054121,8213,8749
1581055321,8211,8746
1581055921,8211,8746
1581056521,8213,8747
1581057721,8217,8752
1581058322,8218,8753
1581058921,8216,8751
1581060121,8221,8756
1581060722,8226,8761
1581061322,8228,8763
1581061922,8227,8763
1581063121,8229,8765
1581063721,8232,8768
1581064921,8230,8767
1581066122,8225,8760
1581067322,8222,8758
1581067921,8212,8747
1581069121,8211,8746
1581070322,8198,8732
1581070921,8200,8734
1581071521,8206,8740
1581072121,8200,8734
1581073321,8203,8737
1581073922,8208,8742
1581074522,8207,8740
1581075121,8210,8743
1581075721,8215,8751
1581076922,8215,8753
1581078122,8223,8760
1581079321,8221,8759
1581079921,8238,8773
1581081122,8250,8786
1581081722,8251,8787
1581082322,8251,8787
1581083522,8248,8787
1581084722,8253,8792
1581085921,8253,8792
1581087122,8251,8788
1581088321,8250,8787
1581088921,8250,8789
1581090721,8255,8794
1581091321,8246,8785
1581091921,8251,8790
1581093121,8253,8793
1581094322,8255,8795
1581094921,8255,8795
1581096122,8255,8795
1581097322,8258,8798
1581097922,8259,8799
1581098521,8265,8804
1581099721,8269,8808
1581100321,8265,8804
1581100921,8272,8811
1581102121,8276,8812
1581103321,8281,8817
1581103922,8288,8827
1581104522,8287,8825
1581105722,8289,8827
1581106321,8296,8834
1581106921,8304,8843
1581107521,8305,8843
1581108722,8306,8845
1581109322,8309,8848
1581110522,8316,8853
1581111721,8316,8853
1581112321,8322,8859
1581113521,8323,8858
1581114121,8301,8835
1581115322,8305,8840
1581117121,8303,8838
1581117721,8310,8843
1581118921,8310,8843
1581119521,8314,8847
1581120121,8324,8859
1581120721,8322,8857
1581121921,8327,8862
1581122522,8332,8867
1581123721,8327,8863
1581124921,8328,8864
1581126121,8332,8866
1581127321,8327,8858
1581128521,8330,8861
1581129721,8328,8858
1581130322,8328,8858
1581131521,8334,8867
1581132121,8335,8868
1581133321,8341,8874
1581133921,8323,8854
1581135121,8329,8860
1581135722,8326,8857
1581136322,8327,8858
1581136921,8329,8860
1581137521,8328,8859
1581139321,8335,8867
1581140521,8337,8869
1581141721,8336,8865
1581142321,8340,8867
1581143522,8347,8874
1581144121,8345,8871
1581145322,8353,8879
1581146522,8360,8886
1581147721,8364,8891
1581148921,8357,8884
1581150121,8363,8891
1581151321,8362,8891
1581152521,8365,8894
1581153721,8355,8884
1581154321,8368,8897
1581155522,8376,8903
1581156121,8383,8911
1581156722,8383,8911
1581157321,8390,8918
1581158521,8389,8917
1581159121,8401,8929
1581160321,8371,8899
1581160922,8374,8902
1581161522,8378,8905
1581162121,8381,8908
1581163321,8382,8909
1581163921,8389,8916
1581164521,8396,8923
1581165721,8396,8920
1581166321,8400,8926
1581166921,8402,8926
1581168121,8408,8932
1581169321,8410,8934
1581170521,8412,8934
1581171121,8416,8938
1581171721,8416,8936
1581172321,8414,8933
1581173521,8413,8931
1581174121,8417,8935
1581175321,8413,8931
1581175922,8414,8932
1581177121,8411,8929
1581177721,8412,8930
1581178922,8414,8933
1581179522,8415,8934
1581180722,8417,8934
1581181321,8414,8930
1581182521,8415,8931
1581183121,8422,8938
1581183722,8424,8940
1581184921,8427,8944
1581185522,8431,8948
1581186121,8436,8953
1581186721,8441,8958
1581187921,8445,8962
1581188521,8443,8960
1581189722,8444,8959
1581190322,8447,8962
1581191521,8445,8960
1581192121,8451,8968
1581192721,8452,8970
1581193922,8455,8973
1581194521,8455,8973
1581195721,8455,8973
1581196921,8453,8967
1581198121,8456,8972
1581199321,8458,8972
1581199921,8460,8974
1581200521,8447,8962
1581201722,8451,8966
1581202922,8452,8966
1581204122,8450,8964
1581204721,8443,8956
1581205921,8448,8960
1581206522,8452,8964
1581207121,8452,8964
1581208321,8450,8965
1581208921,8454,8971
1581210122,8456,8969
1581211321,8462,8977
1581212521,8456,8970
1581213721,8460,8973
1581214921,8462,8975
1581216121,8470,8984
1581217322,8466,8980
1581218521,8470,8984
1581219121,8468,8982
1581219722,8471,8987
1581220921,8464,8980
1581222121,8463,8979
1581223321,8462,8978
1581224521,8455,8973
