DateTime,AddedIPs,RemovedIPs
1581054121,79,79
1581055321,73,73
1581055921,80,80
1581056521,80,80
1581057721,75,75
1581058322,80,80
1581058921,80,80
1581060121,78,78
1581060722,80,80
1581061322,80,80
1581061922,78,78
1581063121,80,80
1581063721,80,80
1581064921,73,73
1581066122,29,29
1581067322,79,79
1581067921,80,80
1581069121,75,75
1581070322,74,74
1581070921,80,80
1581071521,80,80
1581072121,80,80
1581073321,80,80
1581073922,80,80
1581074522,80,80
1581075121,63,63
1581075721,80,80
1581076922,80,80
1581078122,80,80
1581079321,80,80
1581079921,80,80
1581081122,80,80
1581081722,80,80
1581082322,80,80
1581083522,80,80
1581084722,80,80
1581085921,80,80
1581087122,80,80
1581088321,80,80
1581088921,60,60
1581090721,49,49
1581091321,80,80
1581091921,80,80
1581093121,80,80
1581094322,69,69
1581094921,20,20
1581096122,75,75
1581097322,80,80
1581097922,80,80
1581098521,80,80
1581099721,74,74
1581100321,80,80
1581100921,80,80
1581102121,80,80
1581103321,80,80
1581103922,80,80
1581104522,80,80
1581105722,79,79
1581106321,80,80
1581106921,80,80
1581107521,80,80
1581108722,80,80
1581109322,80,80
1581110522,64,64
1581111721,66,66
1581112321,80,80
1581113521,78,78
1581114121,80,80
1581115322,79,79
1581117121,80,80
1581117721,80,80
1581118921,80,80
1581119521,80,80
1581120121,73,73
1581120721,79,79
1581121921,76,76
1581122522,59,59
1581123721,80,80
1581124921,80,80
1581126121,80,80
1581127321,80,80
1581128521,74,74
1581129721,80,80
1581130322,80,80
1581131521,79,79
1581132121,80,80
1581133321,80,80
1581133921,80,80
1581135121,80,80
1581135722,80,80
1581136322,80,80
1581136921,80,80
1581137521,80,80
1581139321,80,80
1581140521,80,80
1581141721,80,80
1581142321,80,80
1581143522,80,80
1581144121,80,80
1581145322,80,80
1581146522,80,80
1581147721,80,80
1581148921,80,80
1581150121,79,79
1581151321,80,80
1581152521,80,80
1581153721,77,77
1581154321,80,80
1581155522,80,80
1581156121,80,80
1581156722,80,80
1581157321,80,80
1581158521,80,80
1581159121,79,79
1581160321,80,80
1581160922,80,80
1581161522,60,60
1581162121,80,80
1581163321,80,80
1581163921,80,80
1581164521,80,80
1581165721,79,79
1581166321,79,79
1581166921,80,80
1581168121,80,80
1581169321,79,79
1581170521,71,71
1581171121,80,80
1581171721,80,80
1581172321,26,26
1581173521,67,67
1581174121,80,80
1581175321,80,80
1581175922,80,80
1581177121,77,77
1581177721,80,80
1581178922,80,80
1581179522,80,80
1581180722,68,68
1581181321,80,80
1581182521,70,70
1581183121,80,80
1581183722,80,80
1581184921,80,80
1581185522,80,80
1581186121,79,79
1581186721,24,24
1581187921,80,80
1581188521,80,80
1581189722,80,80
1581190322,80,80
1581191521,80,80
1581192121,80,80
1581192721,80,80
1581193922,80,80
1581194521,80,80
1581195721,80,80
1581196921,80,80
1581198121,80,80
1581199321,80,80
1581199921,80,80
1581200521,30,30
1581201722,80,80
1581202922,80,80
1581204122,80,80
1581204721,80,80
1581205921,79,79
1581206522,80,80
1581207121,80,80
1581208321,72,72
1581208921,80,80
1581210122,80,80
1581211321,75,75
1581212521,80,80
1581213721,80,80
1581214921,80,80
1581216121,76,76
1581217322,80,80
1581218521,80,80
1581219121,80,80
1581219722,80,80
1581220921,80,80
1581222121,80,80
1581223321,80,80
1581224521,80,80
1581225122,79,79
1581226321,80,80
1581226921,80,80
1581228121,79,79
1581229321,72,72
1581230521,80,80
1581231721,72,72
1581232921,72,72
1581233521,80,80
1581234122,80,80
1581235321,80,80
1581235921,77,77
1581237121,78,78
1581237722,80,80
1581238921,79,79
1581240121,80,80
1581240721,80,80
1581241921,80,80
1581242522,80,80
1581243122,80,80
1581244321,80,80
1581245521,78,78
1581246121,80,80
1581247321,72,72
1581247921,78,78
1581248521,80,80
1581249121,80,80
1581249721,80,80
1581250321,80,80
1581250922,80,80
1581251521,80,80
1581252122,76,76
1581253922,80,80
1581254522,80,80
1581255121,80,80
1581255721,80,80
1581256321,59,59
1581256921,23,23
1581258121,80,80
1581258721,80,80
1581259322,80,80
