DateTime,AddedIPs,RemovedIPs
1580973721,1,0
1580974921,1,0
1580976121,0,1
1580977321,1,0
1580977921,1,0
1580978522,0,2
1580979722,1,0
1580980921,3,3
1580981521,1,4
1580982721,0,1
1580983321,0,3
1580984521,3,0
1580985721,3,2
1580986321,2,0
1580987521,2,4
1580989321,1,7
1580989922,0,1
1580991121,1,0
1580991721,1,1
1580992921,2,0
1580993521,1,2
1580994121,1,0
1580995921,0,1
1580996521,1,1
1580997122,1,0
1580997721,0,1
1581000121,1,0
1581000722,7,0
1581001321,3,0
1581002522,1,5
1581004321,1,22
1581005521,0,2
1581006122,0,2
1581006721,1,0
1581007921,0,3
1581008521,1,0
1581009121,0,2
1581010321,1,3
1581010921,1,0
1581012121,0,3
1581012722,2,0
1581013921,1,2
1581014521,1,2
1581015121,1,0
1581015721,1,1
1581016921,1,0
1581018122,0,2
1581019921,1,3
1581020521,0,2
1581021721,0,1
1581022322,0,1
1581022922,6,0
1581025322,1,4
1581026521,0,10
1581028321,0,2
1581029521,0,5
1581030721,0,2
1581031321,4,0
1581032521,1,0
1581033722,0,1
1581034321,0,1
1581034922,0,3
1581036121,2,0
1581036721,0,6
1581038521,0,4
1581039121,2,2
1581040922,1,2
1581042122,0,3
1581043321,2,1
1581043921,0,4
1581045121,0,6
1581046321,2,0
1581046921,5,0
1581048121,4,0
1581049321,1,0
1581050522,0,4
1581051121,2,2
1581052321,2,0
1581054121,0,3
1581055321,0,16
1581056521,1,1
1581057721,8,0
1581058322,5,3
1581059521,1,0
1581061322,1,2
1581061921,0,1
1581063721,3,2
1581064321,0,4
1581065521,1,0
1581066122,0,1
1581066721,1,0
1581067921,1,2
1581069121,3,2
1581070322,7,1
1581071521,1,1
1581072121,2,1
1581073321,4,0
1581074522,0,3
1581075121,1,0
1581075721,0,3
1581076321,1,0
1581077521,1,5
1581078721,4,0
1581079321,2,0
1581079921,5,0
1581081122,8,3
1581082322,11,0
1581082921,4,0
1581083522,4,3
1581084721,3,0
1581085321,0,3
1581085921,7,0
1581087122,5,7
1581088921,13,2
1581090121,2,0
1581090721,3,20
1581091921,2,18
1581092521,2,0
1581093721,1,0
1581094322,0,1
1581094921,0,2
1581096122,9,0
1581096721,1,1
1581097322,1,0
1581098521,5,3
1581099121,5,0
1581100321,1,1
1581100921,3,0
1581102721,6,0
1581103321,2,1
1581104522,1,3
1581105721,2,0
1581106321,0,2
1581108122,5,0
1581108722,1,11
1581110522,1,2
1581111121,1,0
1581111721,0,2
1581112921,1,1
1581114121,3,0
1581114722,1,2
1581115921,3,0
1581117121,0,1
1581117721,3,3
1581118921,1,0
1581120121,3,0
1581121321,5,0
1581121921,2,0
1581123122,1,1
1581124321,1,4
1581124921,3,0
1581126121,5,0
1581128521,4,1
1581129721,2,2
1581130322,3,0
1581131521,3,0
1581132121,3,0
1581132721,7,2
1581133921,2,2
1581134522,1,1
1581135722,2,1
1581136921,4,2
1581137521,3,0
1581139321,3,0
1581139921,1,1
1581141121,2,1
1581142321,1,3
1581142921,2,1
1581144722,7,0
1581145322,5,0
1581146521,1,0
1581147721,1,0
1581148321,0,1
1581149521,3,2
1581150121,1,0
1581151321,6,0
1581152521,6,2
1581153721,2,0
1581154321,6,0
1581155522,15,0
1581156722,9,0
1581157921,2,0
1581158521,2,0
1581159121,1,0
1581160321,1,1
1581161522,1,0
1581162121,2,1
1581162721,1,0
1581163321,0,3
1581163921,0,1
1581164521,1,0
1581165721,3,1
1581166921,3,0
1581167521,2,0
1581168121,2,0
1581169321,0,3
1581169921,0,1
1581170521,3,1
1581171121,3,1
1581171721,1,0
1581172321,0,4
1581172921,1,2
1581174121,4,5
1581174721,1,0
1581175321,4,0
1581177121,2,1
1581178321,3,0
1581179522,1,0
1581180722,3,0
1581181321,2,3
1581183121,2,2
1581184321,1,3
1581185522,1,0
1581186121,2,0
1581187321,0,1
1581188521,0,2
1581189722,2,6
1581190922,3,0
1581192721,1,0
1581194521,1,6
1581195721,29,0
1581196921,1,0
1581198121,1,0
1581200521,0,4
1581201722,1,1
1581202922,1,1
1581204121,0,3
1581204721,1,0
1581205321,0,2
1581206522,1,0
1581207721,2,3
1581208921,1,0
1581210122,1,5
1581211321,2,1
1581212521,4,2
1581213721,2,0
1581214321,0,2
1581214921,0,1
1581216121,4,1
1581217322,3,6
1581218521,0,1
1581219722,3,0
1581220921,2,0
1581221521,1,1
1581222721,1,2
1581224521,3,3
1581225721,1,0
1581226321,0,2
1581226921,1,0
1581227521,0,9
1581228721,1,0
