DateTime,AddedIPs,RemovedIPs
1581075121,81,81
1581075721,67,67
1581076321,40,40
1581077521,97,97
1581078122,23,23
1581078721,64,64
1581079321,66,66
1581079921,56,56
1581081122,74,74
1581082322,96,96
1581082921,69,69
1581083522,69,69
1581084721,87,87
1581085321,73,73
1581085921,65,65
1581087122,66,66
1581087721,21,21
1581088921,97,97
1581090121,83,83
1581090721,31,31
1581091921,96,96
1581092521,77,77
1581093721,100,100
1581094322,44,44
1581094921,26,26
1581096122,95,95
1581096721,40,40
1581097322,21,21
1581098521,57,57
1581099121,68,68
1581100321,90,90
1581100921,48,48
1581101521,13,13
1581102721,59,59
1581103321,62,62
1581104522,80,80
1581105121,18,18
1581105721,16,16
1581106321,24,24
1581106921,63,63
1581108122,94,94
1581108722,21,21
1581110522,96,96
1581111121,25,25
1581111721,8,8
1581112921,100,100
1581114121,92,92
1581114722,48,48
1581115921,91,91
1581117121,95,95
1581117721,85,85
1581118921,92,92
1581119521,25,25
1581120121,67,67
1581121321,73,73
1581121921,67,67
1581122522,6,6
1581123122,26,26
1581124321,82,82
1581124921,77,77
1581126121,99,99
1581126721,73,73
1581128521,98,98
1581129721,99,99
1581130322,63,63
1581131521,96,96
1581132121,55,55
1581132721,80,80
1581133921,95,95
1581134522,27,27
1581135722,96,96
1581136921,93,93
1581137521,74,74
1581139321,99,99
1581139921,24,24
1581141121,100,100
1581142321,96,96
1581142921,76,76
1581143522,82,82
1581144722,97,97
1581145322,62,62
1581146521,96,96
1581147721,96,96
1581148321,61,61
1581149521,96,96
1581150121,75,75
1581151321,95,95
1581152521,97,97
1581153721,79,79
1581154321,61,61
1581155522,96,96
1581156722,95,95
1581157921,78,78
1581158521,74,74
1581159121,78,78
1581160321,65,65
1581160922,72,72
1581161522,65,65
1581162121,78,78
1581162721,55,55
1581163321,36,36
1581163921,73,73
1581164521,75,75
1581165721,80,80
1581166321,31,31
1581166921,43,43
1581167521,30,30
1581168121,35,35
1581169321,87,87
1581169921,20,20
1581170521,48,48
1581171121,68,68
1581171721,41,41
1581172321,51,51
1581172921,45,45
1581173521,10,10
1581174121,74,74
1581174721,38,38
1581175321,73,73
1581177121,92,92
1581178321,96,96
1581178922,16,16
1581179522,20,20
1581180121,82,82
1581180722,45,45
1581181321,23,23
1581182521,97,97
1581183121,59,59
1581183722,59,59
1581184321,88,88
1581185522,95,95
1581186121,80,80
1581186721,56,56
1581187321,40,40
1581188521,97,97
1581189722,98,98
1581190922,100,100
1581192121,91,91
1581192721,50,50
1581193321,53,53
1581194521,50,50
1581195721,93,93
1581196921,98,98
1581197522,29,29
1581198121,77,77
1581199321,97,97
1581200521,97,97
1581201722,97,97
1581202922,97,97
1581203521,61,61
1581204121,75,75
1581204721,27,27
1581205321,13,13
1581206522,99,99
1581207721,96,96
1581208321,20,20
1581208921,63,63
1581210122,82,82
1581211321,21,21
1581211922,24,24
1581212521,73,73
1581213721,78,78
1581214321,15,15
1581214921,57,57
1581216121,98,98
1581217322,98,98
1581218521,90,90
1581219722,94,94
1581220921,100,100
1581221521,69,69
1581222721,98,98
1581223321,68,68
1581224521,94,94
1581225721,100,100
1581226321,23,23
1581226921,68,68
1581227521,32,32
1581228721,97,97
1581229321,20,20
1581230521,93,93
1581231721,88,88
1581232921,97,97
1581233521,70,70
1581234122,80,80
1581235321,84,84
1581236521,92,92
1581237722,96,96
1581238321,53,53
1581238921,81,81
1581240121,97,97
1581240721,61,61
1581241321,51,51
1581241921,72,72
1581243122,100,100
1581243721,64,64
1581244921,74,74
1581245521,67,67
1581246121,52,52
1581247921,92,92
1581248521,22,22
1581249121,34,34
1581249721,14,14
1581250922,94,94
1581251521,34,34
1581252122,50,50
1581252721,45,45
1581253922,91,91
1581254522,31,31
1581255721,45,45
1581256321,40,40
1581256921,10,10
1581258121,96,96
1581258721,64,64
1581259322,11,11
1581260521,94,94
1581261721,88,88
1581262921,96,96
1581263522,42,42
1581264121,42,42
1581264721,66,66
1581265321,72,72
1581266522,96,96
1581267122,11,11
1581267721,64,64
1581268922,91,91
1581269521,63,63
1581270121,66,66
1581271321,100,100
1581272521,99,99
1581273122,59,59
1581273722,50,50
1581274921,100,100
1581275521,17,17
1581276121,47,47
1581277321,70,70
1581277921,44,44
1581278521,35,35
1581279721,88,88
1581280921,97,97
1581282122,69,69
1581283321,83,83
1581284521,91,91
1581285121,66,66
1581285721,74,74
1581286321,41,41
1581287521,83,83
1581288121,44,44
1581288721,60,60
1581289321,53,53
1581290521,90,90
1581291121,70,70
1581292321,97,97
1581292921,35,35
1581294121,89,89
1581294721,61,61
1581295321,44,44
1581296521,95,95
1581297121,60,60
1581297721,58,58
1581298922,87,87
1581300121,99,99
1581300722,81,81
1581301322,59,59
1581301921,30,30
1581303121,96,96
1581303722,59,59
1581304921,100,100
1581306121,95,95
1581306722,56,56
1581307321,81,81
1581308521,99,99
1581309121,18,18
1581309721,27,27
1581310322,58,58
1581310921,55,55
1581312121,87,87
1581312721,65,65
1581313321,35,35
1581314521,95,95
1581315122,75,75
1581316321,94,94
1581316922,75,75
1581318121,99,99
1581319321,91,91
1581319921,26,26
1581320522,53,53
1581321721,99,99
1581322921,93,93
1581323521,71,71
1581324121,25,25
1581324721,44,44
1581325321,37,37
1581326521,49,49
1581327121,49,49
1581327721,49,49
1581328321,70,70
1581329521,74,74
1581330721,100,100
1581331322,81,81
1581333121,99,99
1581333722,53,53
1581334921,100,100
1581336121,96,96
1581336721,58,58
1581337322,54,54
1581337921,66,66
1581338522,38,38
1581339122,55,55
1581340322,97,97
1581340921,70,70
1581342121,84,84
1581342721,48,48
1581343321,33,33
1581344522,81,81
1581345122,47,47
1581345721,44,44
1581346321,69,69
1581346921,66,66
1581347521,24,24
1581348121,12,12
1581349321,98,98
1581350521,96,96
1581352321,91,91
1581352921,74,74
1581353521,83,83
1581354721,94,94
1581355321,78,78
1581356521,99,99
1581357122,57,57
1581358321,100,100
1581359521,93,93
1581360121,32,32
1581360721,79,79
1581361922,100,100
1581363122,96,96
