DateTime,AddedIPs,RemovedIPs
1579324502,172,0
1579328102,159,0
1579335302,320,0
1579338901,152,0
1579342501,164,0
1579346102,153,0
1579349702,140,0
1579354201,178,0
1579357802,144,0
1579361402,147,0
1579365002,113,0
1579368602,129,0
1579372202,184,0
1579376701,137,0
1579380302,112,0
1579383901,93,0
1579387502,97,0
1579391102,103,0
1579394702,134,4155
1579398301,168,0
1579401902,148,0
1579405502,131,0
1579409102,132,0
1579416302,250,0
1579420802,158,0
1579424401,125,0
1579428002,111,0
1579431602,94,0
1579435202,121,0
1579438802,168,0
1579442402,120,0
1579446002,141,0
1579449602,111,0
1579454102,159,0
1579457702,127,0
1579461302,261,0
1579464902,127,0
1579472102,584,0
1579475702,123,0
1579482901,239,3418
1579486502,208,0
1579490101,149,0
1579494602,201,0
1579499102,278,0
1579506302,340,0
1579509902,183,0
1579517102,364,0
1579520702,172,0
1579527902,268,0
1579531502,149,0
1579539602,329,0
1579543202,185,0
1579546802,124,0
1579550402,114,0
1579554002,91,0
1579557601,99,0
1579564802,214,3626
1579568401,124,0
1579572002,140,0
1579579202,253,0
1579582802,141,0
1579590902,332,0
1579598102,313,0
1579601701,174,0
1579608902,299,1
1579612501,167,0
1579619702,347,0
1579623302,132,0
1579627802,262,0
1579631407,123,0
1579635002,130,0
1579642201,244,0
1579645802,104,0
1579649401,103,1
1579653001,98,3837
1579656602,149,0
1579660202,163,0
1579667401,287,0
1579671901,200,0
1579675502,172,0
1579682701,296,0
1579686302,156,0
1579694402,349,0
1579698002,181,0
1579701602,197,0
1579705201,156,0
1579708802,173,0
1579712402,188,0
1579716002,109,0
1579723202,227,0
1579726801,134,0
1579730402,114,0
1579734002,183,0
1579737602,129,3450
1579745702,410,0
1579752901,268,0
1579756501,122,0
1579763701,290,0
1579768202,299,0
1579771802,180,0
1579779002,435,0
1579782602,199,0
1579786202,175,0
1579789801,197,0
1579793402,173,0
1579797002,143,0
1579804202,249,0
1579807801,102,0
1579812301,134,0
1579815902,100,0
1579823101,237,0
1579830302,154,3471
1579833902,107,0
1579837501,107,0
1579841102,106,0
1579848301,254,0
1579852802,157,0
1579856402,152,0
1579860002,136,0
1579863602,142,0
1579867202,129,0
1579870801,149,0
1579874402,133,0
1579878002,155,0
1579881602,134,0
1579888802,207,0
1579892402,117,0
1579899601,185,0
1579906802,163,0
1579914002,164,3863
1579917602,110,0
1579922101,158,0
1579929301,183,0
1579932902,106,0
1579936502,84,0
1579943702,192,0
1579947301,125,0
1579950902,99,0
1579954501,114,0
1579959002,162,0
1579962602,98,0
1579966202,106,0
1579969801,84,0
1579974302,143,0
1579977902,111,0
1579981501,125,0
1579985102,94,0
1579992301,216,0
1579995901,145,0
1579999502,99,2959
1580003101,121,0
1580010301,264,0
1580014802,131,0
1580018401,107,0
1580022002,131,0
1580025602,140,0
1580029202,116,0
1580032802,108,0
1580036401,109,0
1580040002,106,0
1580043602,100,0
1580047202,105,0
1580054401,340,0
1580058001,145,0
1580062501,152,0
1580069701,314,0
1580073302,113,0
1580080502,182,0
1580085002,113,2568
1580088602,104,0
1580092202,114,0
1580095802,126,0
1580103002,251,0
1580106602,128,0
1580110201,150,0
1580113801,161,0
1580117402,199,0
1580121002,173,0
1580125501,199,0
1580129102,170,0
1580136301,354,0
1580139901,183,0
1580147102,284,0
1580150701,137,0
1580155202,174,0
1580158803,132,0
1580162402,118,0
1580166002,103,0
1580169602,110,2866
1580173202,119,0
1580176802,136,0
1580180402,210,0
1580184002,111,0
1580191202,297,0
1580197502,317,0
1580199302,82,0
1580206502,399,0
1580210101,198,0
1580213702,188,0
1580217301,150,0
1580220902,151,0
1580224502,177,0
1580228102,149,0
1580232601,199,0
1580236202,157,0
1580239802,150,0
1580243401,120,0
1580250601,236,0
1580254202,113,0
1580257802,100,3304
1580261401,119,0
1580265902,205,0
1580269501,126,0
1580273102,109,0
1580276702,128,0
1580283901,319,0
1580287502,160,0
1580295602,354,0
1580299202,145,0
1580302802,171,0
1580306402,139,0
1580310002,160,0
1580313601,162,0
1580317202,140,0
1580320802,132,0
1580328003,236,0
1580331601,130,0
1580335202,145,0
1580338801,125,0
1580342403,125,3793
1580349602,286,0
1580353201,115,0
1580356801,131,0
1580360402,131,0
1580364901,157,0
1580368501,150,0
1580372102,134,0
1580379301,300,0
1580382901,117,0
1580386502,132,0
1580390101,175,0
1580397301,368,0
1580400902,152,0
1580405401,173,0
1580409002,132,0
1580412602,139,0
1580419802,285,0
1580427002,247,0
1580434202,190,3280
1580437801,149,0
1580441402,124,0
1580445002,110,0
1580449502,151,0
1580453101,134,0
1580460302,269,0
1580463902,151,0
1580467502,132,0
1580471102,141,0
1580474702,182,0
1580478302,159,0
1580485501,349,0
1580489101,114,0
1580496301,233,0
1580499902,86,0
1580504402,93,0
1580508002,86,0
1580511602,123,0
1580515202,55,3441
1580518803,101,0
1580522402,168,0
1580529602,290,0
1580536802,210,0
1580544002,231,0
1580547602,119,0
1580552102,191,0
