DateTime,Entries,UniqueIPs
1579324502,6848,6848
1579328102,7007,7007
1579335302,7327,7327
1579338901,7479,7479
1579342501,7643,7643
1579346102,7796,7796
1579349702,7936,7936
1579354201,8114,8114
1579357802,8258,8258
1579361402,8405,8405
1579365002,8518,8518
1579368602,8647,8647
1579372202,8831,8831
1579376701,8968,8968
1579380302,9080,9080
1579383901,9173,9173
1579387502,9270,9270
1579391102,9373,9373
1579394702,5352,5352
1579398301,5520,5520
1579401902,5668,5668
1579405502,5799,5799
1579409102,5931,5931
1579416302,6181,6181
1579420802,6339,6339
1579424401,6464,6464
1579428002,6575,6575
1579431602,6669,6669
1579435202,6790,6790
1579438802,6958,6958
1579442402,7078,7078
1579446002,7219,7219
1579449602,7330,7330
1579454102,7489,7489
1579457702,7616,7616
1579461302,7877,7877
1579464902,8004,8004
1579472102,8588,8588
1579475702,8711,8711
1579482901,5532,5532
1579486502,5740,5740
1579490101,5889,5889
1579494602,6090,6090
1579499102,6368,6368
1579506302,6708,6708
1579509902,6891,6891
1579517102,7255,7255
1579520702,7427,7427
1579527902,7695,7695
1579531502,7844,7844
1579539602,8173,8173
1579543202,8358,8358
1579546802,8482,8482
1579550402,8596,8596
1579554002,8687,8687
1579557601,8786,8786
1579564802,5374,5374
1579568401,5498,5498
1579572002,5638,5638
1579579202,5891,5891
1579582802,6032,6032
1579590902,6364,6364
1579598102,6677,6677
1579601701,6851,6851
1579608902,7149,7149
1579612501,7316,7316
1579619702,7663,7663
1579623302,7795,7795
1579627802,8057,8057
1579631407,8180,8180
1579635002,8310,8310
1579642201,8554,8554
1579645802,8658,8658
1579649401,8760,8760
1579653001,5021,5021
1579656602,5170,5170
1579660202,5333,5333
1579667401,5620,5620
1579671901,5820,5820
1579675502,5992,5992
1579682701,6288,6288
1579686302,6444,6444
1579694402,6793,6793
1579698002,6974,6974
1579701602,7171,7171
1579705201,7327,7327
1579708802,7500,7500
1579712402,7688,7688
1579716002,7797,7797
1579723202,8024,8024
1579726801,8158,8158
1579730402,8272,8272
1579734002,8455,8455
1579737602,5134,5134
1579745702,5544,5544
1579752901,5812,5812
1579756501,5934,5934
1579763701,6224,6224
1579768202,6523,6523
1579771802,6703,6703
1579779002,7138,7138
1579782602,7337,7337
1579786202,7512,7512
1579789801,7709,7709
1579793402,7882,7882
1579797002,8025,8025
1579804202,8274,8274
1579807801,8376,8376
1579812301,8510,8510
1579815902,8610,8610
1579823101,8847,8847
1579830302,5530,5530
1579833902,5637,5637
1579837501,5744,5744
1579841102,5850,5850
1579848301,6104,6104
1579852802,6261,6261
1579856402,6413,6413
1579860002,6549,6549
1579863602,6691,6691
1579867202,6820,6820
1579870801,6969,6969
1579874402,7102,7102
1579878002,7257,7257
1579881602,7391,7391
1579888802,7598,7598
1579892402,7715,7715
1579899601,7900,7900
1579906802,8063,8063
1579914002,4364,4364
1579917602,4474,4474
1579922101,4632,4632
1579929301,4815,4815
1579932902,4921,4921
1579936502,5005,5005
1579943702,5197,5197
1579947301,5322,5322
1579950902,5421,5421
1579954501,5535,5535
1579959002,5697,5697
1579962602,5795,5795
1579966202,5901,5901
1579969801,5985,5985
1579974302,6128,6128
1579977902,6239,6239
1579981501,6364,6364
1579985102,6458,6458
1579992301,6674,6674
1579995901,6819,6819
1579999502,3959,3959
1580003101,4080,4080
1580010301,4344,4344
1580014802,4475,4475
1580018401,4582,4582
1580022002,4713,4713
1580025602,4853,4853
1580029202,4969,4969
1580032802,5077,5077
1580036401,5186,5186
1580040002,5292,5292
1580043602,5392,5392
1580047202,5497,5497
1580054401,5837,5837
1580058001,5982,5982
1580062501,6134,6134
1580069701,6448,6448
1580073302,6561,6561
1580080502,6743,6743
1580085002,4288,4288
1580088602,4392,4392
1580092202,4506,4506
1580095802,4632,4632
1580103002,4883,4883
1580106602,5011,5011
1580110201,5161,5161
1580113801,5322,5322
1580117402,5521,5521
1580121002,5694,5694
1580125501,5893,5893
1580129102,6063,6063
1580136301,6417,6417
1580139901,6600,6600
1580147102,6884,6884
1580150701,7021,7021
1580155202,7195,7195
1580158803,7327,7327
1580162402,7445,7445
1580166002,7548,7548
1580169602,4792,4792
1580173202,4911,4911
1580176802,5047,5047
1580180402,5257,5257
1580184002,5368,5368
1580191202,5665,5665
1580197502,5982,5982
1580199302,6064,6064
1580206502,6463,6463
1580210101,6661,6661
1580213702,6849,6849
1580217301,6999,6999
1580220902,7150,7150
1580224502,7327,7327
1580228102,7476,7476
1580232601,7675,7675
1580236202,7832,7832
1580239802,7982,7982
1580243401,8102,8102
1580250601,8338,8338
1580254202,8451,8451
1580257802,5247,5247
1580261401,5366,5366
1580265902,5571,5571
1580269501,5697,5697
1580273102,5806,5806
1580276702,5934,5934
1580283901,6253,6253
1580287502,6413,6413
1580295602,6767,6767
1580299202,6912,6912
1580302802,7083,7083
1580306402,7222,7222
1580310002,7382,7382
1580313601,7544,7544
1580317202,7684,7684
1580320802,7816,7816
1580328003,8052,8052
1580331601,8182,8182
1580335202,8327,8327
1580338801,8452,8452
1580342403,4784,4784
1580349602,5070,5070
1580353201,5185,5185
1580356801,5316,5316
1580360402,5447,5447
1580364901,5604,5604
1580368501,5754,5754
1580372102,5888,5888
1580379301,6188,6188
1580382901,6305,6305
1580386502,6437,6437
1580390101,6612,6612
1580397301,6980,6980
1580400902,7132,7132
1580405401,7305,7305
1580409002,7437,7437
1580412602,7576,7576
1580419802,7861,7861
1580427002,8108,8108
1580434202,5018,5018
1580437801,5167,5167
1580441402,5291,5291
1580445002,5401,5401
1580449502,5552,5552
1580453101,5686,5686
1580460302,5955,5955
1580463902,6106,6106
1580467502,6238,6238
1580471102,6379,6379
1580474702,6561,6561
1580478302,6720,6720
1580485501,7069,7069
1580489101,7183,7183
1580496301,7416,7416
1580499902,7502,7502
1580504402,7595,7595
1580508002,7681,7681
1580511602,7804,7804
1580515202,4418,4418
1580518803,4519,4519
1580522402,4687,4687
1580529602,4977,4977
1580536802,5187,5187
1580544002,5418,5418
1580547602,5537,5537
1580552102,5728,5728
1580555701,5880,5880
1580559302,6027,6027
1580562902,6180,6180
1580570102,6451,6451
1580577302,6747,6747
1580580902,6851,6851
1580584502,6936,6936
1580588102,7051,7051
1580595302,7256,7256
1580598902,7379,7379
1580606101,4455,4455
1580609702,4587,4587
1580613301,4718,4718
1580617802,4860,4860
1580621402,4969,4969
1580628601,5169,5169
1580632202,5271,5271
1580635802,5365,5365
1580639401,5444,5444
1580643001,5553,5553
1580646602,5644,5644
1580651102,5806,5806
1580654701,5921,5921
1580658301,6060,6060
1580665502,6275,6275
1580669102,6418,6418
1580672702,6524,6524
1580676302,6636,6636
1580679902,6721,6721
1580687101,6942,6942
1580691602,4104,4104
1580695202,4243,4243
1580698802,4363,4363
1580702402,4473,4473
1580706002,4600,4600
1580709602,4746,4746
1580713202,4900,4900
1580720402,5152,5152
1580724002,5308,5308
1580727603,5459,5459
1580732102,5650,5650
1580739302,5909,5909
1580742902,6123,6123
1580746501,6278,6278
1580750102,6460,6460
1580753702,6585,6585
1580760902,6838,6838
1580764502,7144,7144
1580768102,7250,7250
1580772601,7413,7413
1580776202,4919,4919
1580783402,5257,5257
1580787002,5358,5358
1580790602,5483,5483
1580794202,5589,5589
1580797802,5720,5720
1580801402,5848,5848
1580805901,6028,6028
1580809501,6178,6178
1580816701,6449,6449
1580821202,6607,6607
1580824801,6744,6744
