DateTime,AddedIPs,RemovedIPs
1575279322,0,1
1575280213,11,3
1575281104,0,5
1575297300,0,2
1575313503,1,0
1575333299,0,1
1575339602,1,0
1575348597,1,0
1575366627,0,7
1575367522,15,0
1575393599,1,0
1575395398,0,1
1575396300,1,0
1575397199,0,1
1575399900,1,0
1575407999,0,1
1575421500,1,0
1575427799,2,0
1575438600,0,1
1575452995,0,8
1575453903,0,5
1575462008,34,0
1575509716,1,0
1575512413,0,1
1575526814,0,1
1575540312,0,14
1575550214,13,0
1575552008,1,0
1575554713,1,0
1575556512,3,1
1575597009,2,0
1575599709,1,0
1575603308,1,0
1575608719,2,0
1575626745,0,2
1575630325,6,0
1575634808,0,8
1575653709,0,1
1575655509,1,0
1575658211,1,0
1575666313,1,0
1575669008,1,0
1575682511,0,1
1575701411,0,1
1575712223,13,0
1575713122,0,2
1575723010,0,17
1575747313,1,0
1575750010,0,1
1575754510,1,0
1575759911,1,0
1575765313,1,0
1575782412,0,1
1575790510,1,0
1575798618,11,1
1575803112,0,3
1575813910,0,1
1575814811,1,1
1575828311,1,0
1575843609,0,1
1575848110,1,0
1575885022,7,8
1575886812,1,0
1575900310,1,0
1575916509,0,1
1575930010,1,0
1575930909,0,4
1575947116,1,0
1575948909,2,0
1575953407,0,1
1575959711,1,0
1575964232,2,0
1575965140,2,0
1575966943,1,0
1575970531,1,0
1575971416,5,1
1575972313,0,1
1575974113,1,0
1575987611,2,0
1575988511,5,0
1576002016,2,0
1576019117,0,4
1576040715,2,0
1576044319,2,0
1576051537,2,0
1576058715,7,1
1576062312,3,0
1576065915,0,1
1576069511,0,31
1576080312,2,0
1576083914,1,0
1576087514,7,0
1576094712,1,0
1576105515,1,2
1576109119,2,0
1576119911,2,0
1576123514,2,0
1576127116,4,0
1576130713,2,0
1576137935,1,0
1576145114,3,9
1576152311,0,1
1576155907,0,2
1576159510,0,1
1576170312,9,0
1576173912,2,0
1576184713,1,0
1576188312,1,0
1576224333,0,1
1576231518,7,5
1576235113,1,3
1576249514,0,1
1576253117,1,0
1576256717,0,1
1576260315,3,1
1576281915,1,0
1576292715,1,0
1576296317,4,0
1576299918,2,0
1576303518,1,1
1576314354,1,0
1576317918,7,10
1576335914,1,0
1576346714,2,0
1576353916,1,0
1576389915,1,0
1576393516,1,0
1576397151,3,0
1576404320,9,6
