DateTime,Entries,UniqueIPs
1575279322,1423,1423
1575280213,1431,1431
1575281104,1426,1426
1575297300,1424,1424
1575313503,1425,1425
1575333299,1424,1424
1575339602,1425,1425
1575348597,1426,1426
1575366627,1419,1419
1575367522,1434,1434
1575393599,1435,1435
1575395398,1434,1434
1575396300,1435,1435
1575397199,1434,1434
1575399900,1435,1435
1575407999,1434,1434
1575421500,1435,1435
1575427799,1437,1437
1575438600,1436,1436
1575452995,1428,1428
1575453903,1423,1423
1575462008,1457,1457
1575509716,1458,1458
1575512413,1457,1457
1575526814,1456,1456
1575540312,1442,1442
1575550214,1455,1455
1575552008,1456,1456
1575554713,1457,1457
1575556512,1459,1459
1575597009,1461,1461
1575599709,1462,1462
1575603308,1463,1463
1575608719,1465,1465
1575626745,1463,1463
1575630325,1469,1469
1575634808,1461,1461
1575653709,1460,1460
1575655509,1461,1461
1575658211,1462,1462
1575666313,1463,1463
1575669008,1464,1464
1575682511,1463,1463
1575701411,1462,1462
1575712223,1475,1475
1575713122,1473,1473
1575723010,1456,1456
1575747313,1457,1457
1575750010,1456,1456
1575754510,1457,1457
1575759911,1458,1458
1575765313,1459,1459
1575782412,1458,1458
1575790510,1459,1459
1575798618,1469,1469
1575803112,1466,1466
1575813910,1465,1465
1575814811,1465,1465
1575828311,1466,1466
1575843609,1465,1465
1575848110,1466,1466
1575885022,1465,1465
1575886812,1466,1466
1575900310,1467,1467
1575916509,1466,1466
1575930010,1467,1467
1575930909,1463,1463
1575947116,1464,1464
1575948909,1466,1466
1575953407,1465,1465
1575959711,1466,1466
1575964232,1468,1468
1575965140,1470,1470
1575966943,1471,1471
1575970531,1472,1472
1575971416,1476,1476
1575972313,1475,1475
1575974113,1476,1476
1575987611,1478,1478
1575988511,1483,1483
1576002016,1485,1485
1576019117,1481,1481
1576040715,1483,1483
1576044319,1485,1485
1576051537,1487,1487
1576058715,1493,1493
1576062312,1496,1496
1576065915,1495,1495
1576069511,1464,1464
1576080312,1466,1466
1576083914,1467,1467
1576087514,1474,1474
1576094712,1475,1475
1576105515,1474,1474
1576109119,1476,1476
1576119911,1478,1478
1576123514,1480,1480
1576127116,1484,1484
1576130713,1486,1486
1576137935,1487,1487
1576145114,1481,1481
1576152311,1480,1480
1576155907,1478,1478
1576159510,1477,1477
1576170312,1486,1486
1576173912,1488,1488
1576184713,1489,1489
1576188312,1490,1490
1576224333,1489,1489
1576231518,1491,1491
1576235113,1489,1489
1576249514,1488,1488
1576253117,1489,1489
1576256717,1488,1488
1576260315,1490,1490
1576281915,1491,1491
1576292715,1492,1492
1576296317,1496,1496
1576299918,1498,1498
1576303518,1498,1498
1576314354,1499,1499
1576317918,1496,1496
1576335914,1497,1497
1576346714,1499,1499
1576353916,1500,1500
1576389915,1501,1501
1576393516,1502,1502
1576397151,1505,1505
1576404320,1508,1508
1576422317,1507,1507
1576429517,1510,1510
1576433120,1512,1512
1576447519,1511,1511
1576451120,1515,1515
1576479917,1517,1517
1576490721,1514,1514
1576505117,1515,1515
1576508718,1517,1517
1576519517,1518,1518
1576523119,1521,1521
1576537520,1520,1520
1576562723,1519,1519
1576577141,1518,1518
1576591517,1522,1522
1576595120,1522,1522
1576605919,1521,1521
1576613120,1523,1523
1576616719,1524,1524
1576631120,1525,1525
1576663520,1525,1525
1576667120,1526,1526
1576710317,1527,1527
1576728317,1528,1528
1576731917,1529,1529
1576749920,1535,1535
1576760718,1534,1534
1576782315,1533,1533
1576785916,1534,1534
1576803917,1537,1537
1576836323,1533,1533
1576857920,1535,1535
1576872320,1533,1533
1576922715,1520,1520
1577009114,1516,1516
1577095511,1515,1515
1577113510,1514,1514
1577117106,1513,1513
1577142307,1514,1514
1577149505,1513,1513
1577181910,1514,1514
1577268335,1506,1506
1577275507,1519,1519
1577304307,1518,1518
1577315106,1519,1519
1577325904,1518,1518
1577333105,1517,1517
1577336704,1516,1516
1577354704,1506,1506
1577369103,1505,1505
1577376303,1504,1504
1577383499,1505,1505
1577390703,1501,1501
1577441103,1503,1503
1577448299,1498,1498
1577459100,1499,1499
1577477098,1499,1499
1577484300,1498,1498
1577527504,1505,1505
1577541903,1504,1504
1577567100,1502,1502
1577599501,1503,1503
1577613904,1505,1505
1577675094,1506,1506
1577700297,1504,1504
1577707491,1503,1503
1577750692,1502,1502
1577761493,1501,1501
1577783112,1498,1498
1577786694,1498,1498
1577801091,1497,1497
1577804692,1496,1496
1577855092,1497,1497
1577873095,1503,1503
1577880295,1499,1499
1577887495,1498,1498
1577919893,1497,1497
1577959496,1496,1496
1577977493,1497,1497
1577984693,1498,1498
1577988292,1497,1497
1577995487,1496,1496
1578013489,1491,1491
1578020689,1490,1490
1578045891,1488,1488
1578063890,1487,1487
1578081886,1486,1486
1578132292,1482,1482
1578135887,1483,1483
1578150288,1482,1482
1578193489,1481,1481
1578204283,1479,1479
1578218689,1475,1475
1578240283,1474,1474
1578261881,1473,1473
1578294282,1472,1472
1578305086,1475,1475
1578312279,1476,1476
1578341081,1475,1475
1578377077,1472,1472
1578384299,1471,1471
1578391480,1475,1475
1578398678,1474,1474
1578402281,1473,1473
1578409478,1472,1472
1578452675,1471,1471
1578459876,1470,1470
1578477880,1463,1463
1578481475,1462,1462
1578492274,1461,1461
1578521079,1460,1460
1578535477,1459,1459
1578539078,1458,1458
1578542676,1456,1456
1578564274,1440,1440
1578575074,1439,1439
1578582273,1435,1435
1578589473,1434,1434
1578596678,1433,1433
1578607627,1434,1434
1578632676,1433,1433
1578636276,1432,1432
1578643516,1431,1431
1578650675,1435,1435
1578654276,1433,1433
1578661475,1432,1432
1578672274,1429,1429
1578675875,1429,1429
1578679472,1428,1428
1578683072,1429,1429
1578697469,1428,1428
1578701078,1426,1426
1578708276,1425,1425
1578711877,1424,1424
1578715478,1421,1421
1578719076,1416,1416
1578722680,1414,1414
1578737081,1412,1412
1578740680,1411,1411
1578762279,1409,1409
1578769483,1407,1407
1578780283,1403,1403
1578823488,1405,1405
1578841486,1403,1403
1578852287,1401,1401
1578863085,1399,1399
1578884689,1397,1397
1578888299,1394,1394
1578891884,1390,1390
1578895483,1385,1385
1578906312,1384,1384
1578909889,1389,1389
1578917087,1388,1388
1578924288,1387,1387
1578927887,1384,1384
1578935086,1383,1383
1578938687,1378,1378
1578942288,1378,1378
1578960293,1379,1379
1578963889,1380,1380
1578974689,1379,1379
1578978291,1375,1375
1578989105,1371,1371
1578992704,1370,1370
1578996286,1366,1366
1578999886,1365,1365
1579003486,1358,1358
1579007085,1350,1350
1579014288,1356,1356
1579021484,1354,1354
1579025085,1349,1349
1579028683,1348,1348
1579032287,1349,1349
1579043085,1343,1343
1579057487,1342,1342
1579061087,1340,1340
1579071886,1335,1335
1579075505,1332,1332
1579079104,1331,1331
1579082679,1336,1336
1579097083,1335,1335
1579100685,1334,1334
1579107886,1337,1337
1579111485,1336,1336
1579115085,1333,1333
1579118687,1332,1332
1579125886,1331,1331
1579129488,1332,1332
1579140287,1331,1331
1579147486,1332,1332
1579154687,1327,1327
1579158288,1326,1326
1579161931,1323,1323
1579169089,1316,1316
1579172692,1315,1315
1579183489,1311,1311
1579187086,1308,1308
1579194296,1301,1301
1579197887,1300,1300
1579201491,1295,1295
1579205091,1231,1231
1579208691,1232,1232
1579212285,1231,1231
1579215891,1229,1229
1579223089,1230,1230
1579230292,1231,1231
1579248319,1232,1232
1579255494,1230,1230
1579259089,1229,1229
1579269893,1224,1224
1579273494,1224,1224
1579277096,1223,1223
1579280697,1219,1219
1579284299,1218,1218
1579291496,1216,1216
1579295097,1211,1211
1579298697,1214,1214
1579302297,1203,1203
1579327500,1204,1204
1579338321,1205,1205
1579341900,1206,1206
1579345501,1213,1213
1579352701,1217,1217
1579359902,1219,1219
1579363502,1220,1220
1579367104,1222,1222
1579381503,1223,1223
1579388706,1224,1224
1579395906,1223,1223
1579399506,1224,1224
1579403105,1227,1227
1579406708,1231,1231
1579413911,1233,1233
1579424731,1234,1234
1579428309,1292,1292
1579446308,1293,1293
1579449913,1291,1291
1579460712,1292,1292
1579485914,1293,1293
1579489516,1295,1295
1579507546,1296,1296
1579514721,1302,1302
1579529121,1305,1305
1579532724,1307,1307
1579536323,1310,1310
1579543521,1311,1311
1579547118,1312,1312
1579550725,1313,1313
1579554322,1314,1314
1579572324,1315,1315
1579601132,1328,1328
1579604728,1331,1331
1579619127,1334,1334
1579626329,1336,1336
1579640729,1337,1337
1579651533,1340,1340
1579655130,1341,1341
1579662331,1342,1342
1579676734,1343,1343
1579687533,1334,1334
1579691129,1335,1335
1579694727,1336,1336
1579705526,1337,1337
1579716329,1336,1336
1579723528,1337,1337
1579730727,1338,1338
1579734331,1339,1339
1579745128,1340,1340
1579752330,1341,1341
1579755932,1342,1342
1579773929,1327,1327
1579788326,1328,1328
1579809926,1329,1329
1579820732,1330,1330
1579831532,1331,1331
1579838736,1332,1332
1579860336,1333,1333
1579896335,1334,1334
1579925136,1335,1335
1579939581,1337,1337
1579946739,1335,1335
1579971936,1336,1336
1579975538,1337,1337
1580025976,1338,1338
1580029556,1339,1339
1580033136,1285,1285
1580076338,1288,1288
1580079933,1289,1289
1580083538,1290,1290
1580101537,1291,1291
1580119537,1284,1284
1580159137,1285,1285
1580180741,1286,1286
1580187939,1287,1287
1580205945,1286,1286
1580209544,1288,1288
1580231146,1286,1286
1580249144,1287,1287
1580270745,1288,1288
1580277950,1289,1289
1580292343,1293,1293
1580328342,1292,1292
1580331948,1293,1293
1580357145,1292,1292
1580364353,1293,1293
1580378748,1291,1291
1580461568,1292,1292
1580465147,1323,1323
1580468751,1324,1324
1580551548,1326,1326
1580616351,1327,1327
1580637954,1324,1324
1580706357,1325,1325
1580709962,1326,1326
1580713559,1328,1328
1580724354,1320,1320
1580738757,1322,1322
1580767555,1325,1325
1580771156,1326,1326
1580789157,1327,1327
1580792757,1328,1328
1580810750,1313,1313
1580825155,1314,1314
1580839558,1315,1315
1580868354,1316,1316
1580886356,1317,1317
1580897159,1334,1334
1580925967,1335,1335
1580976390,1336,1336
1580983563,1351,1351
1580994364,1352,1352
1581012366,1354,1354
1581019577,1353,1353
1581023168,1354,1354
1581033970,1353,1353
1581051974,1354,1354
1581069998,1304,1304
1581073595,1305,1305
1581077173,1329,1329
1581105973,1328,1328
1581116777,1329,1329
1581127576,1331,1331
1581138377,1333,1333
1581156379,1328,1328
1581185182,1329,1329
1581199580,1326,1326
1581206783,1325,1325
1581228385,1326,1326
1581231979,1327,1327
1581235608,1329,1329
1581242776,1329,1329
1581249977,1327,1327
1581260778,1328,1328
1581267978,1327,1327
1581271579,1328,1328
1581275179,1325,1325
1581282379,1326,1326
1581311174,1327,1327
1581318373,1328,1328
1581322016,1329,1329
1581329177,1341,1341
1581347173,1343,1343
1581372370,1344,1344
1581383169,1345,1345
1581397568,1346,1346
1581408404,1347,1347
1581415572,1337,1337
1581440768,1338,1338
1581444369,1339,1339
1581448097,1340,1340
1581501970,1354,1354
