DateTime,Entries,UniqueIPs
1578574931,854,1083
1578578591,855,1084
1578582190,856,1085
1578589390,857,1086
1578592990,856,1085
1578596591,855,1084
1578600191,859,1089
1578610991,859,1089
1578614592,860,1090
1578618190,859,1089
1578625391,857,1086
1578632593,856,1085
1578636191,856,1085
1578646992,856,1084
1578654191,855,1083
1578657791,853,1081
1578661392,853,1081
1578664931,854,1082
1578672191,854,1082
1578675851,854,1081
1578679331,856,1083
1578683364,860,1087
1578690203,862,1090
1578701004,861,1089
1578704544,862,1090
1578711743,862,1090
1578719005,861,1089
1578726204,859,1087
1578733404,860,1088
1578737004,858,1086
1578740545,859,1087
1578751344,859,1088
1578755004,859,1088
1578765744,859,1088
1578769405,860,1089
1578772945,855,1084
1578780144,856,1080
1578783804,847,1019
1578787405,847,1019
1578791004,848,1020
1578794604,846,1018
1578798205,847,1019
1578801745,847,1019
1578805345,846,1018
1578809005,847,1019
1578812605,848,1020
1578823405,847,1019
1578830606,848,1020
1578834205,849,1021
1578848607,849,1021
1578852206,848,1020
1578859406,849,1021
1578863007,852,1024
1578873805,854,1026
1578881005,853,1025
1578884545,852,1024
1578895345,851,1023
1578902606,851,1023
1578906146,853,1025
1578909806,852,1023
1578913406,854,1025
1578916946,853,1024
1578931346,854,1025
1578935006,855,1026
1578938606,855,1026
1578942146,857,1028
1578945806,858,1029
1578949346,857,1028
1578952946,859,1030
1578956606,857,1028
1578963806,856,1027
1578967406,857,1028
1578974546,858,1029
1578981747,859,1030
1578988947,860,1031
1578999747,857,1028
1579006947,857,1028
1579017747,858,1029
1579021347,859,1030
1579028607,858,1029
1579032207,858,1029
1579035748,859,1030
1579042948,859,1031
1579046607,860,1032
1579057348,859,1031
1579060949,860,1032
1579064549,859,1031
1579068209,860,1032
1579071748,861,1033
1579079008,860,1032
1579093348,859,1031
1579100609,858,1030
1579104208,860,1032
1579107809,860,1032
1579111408,861,1033
1579115008,860,1032
1579118549,861,1033
1579121767,862,1034
1579122187,863,1035
1579125787,863,1035
1579129387,862,1034
1579136587,864,1036
1579147388,863,1035
1579150989,863,1035
1579154529,866,1041
1579158189,863,1038
1579165389,864,1039
1579176130,864,1039
1579186991,865,1040
1579194192,856,1027
1579197792,853,1024
1579208592,852,1023
1579212194,853,1024
1579215794,854,1025
1579219392,852,1023
1579222993,853,1024
1579226593,848,1019
1579230193,849,1020
1579233792,849,1020
1579240933,848,1019
1579248195,849,1020
1579258933,850,1021
1579266192,850,1019
1579273334,849,1018
1579280593,851,1020
1579284194,853,1022
1579287794,852,1021
1579291393,848,1017
1579298534,847,1016
1579302193,844,1013
1579309394,834,1002
1579316593,836,1004
1579320193,834,1002
1579323795,825,993
1579330993,826,994
1579334533,833,996
1579345334,834,997
1579356194,832,995
1579366995,830,993
1579377795,829,992
1579381394,830,993
1579388534,833,996
1579392194,832,995
1579395794,830,993
1579399395,829,992
1579406594,832,995
1579417395,831,994
1579424595,829,992
1579431795,830,993
1579435395,829,992
1579446196,828,991
1579460595,831,994
1579467795,831,994
1579471395,832,995
1579489396,831,994
1579492996,833,996
1579500136,826,987
1579503736,829,996
1579507396,834,1004
1579518137,835,1005
1579521796,835,1005
1579539797,839,1009
1579546997,839,1008
1579550537,839,1008
1579557826,840,1009
1579561427,841,1010
1579565026,842,1011
1579572166,841,1010
1579575766,839,1008
1579579366,840,1009
1579586626,854,1025
1579590166,855,1026
1579601026,854,1025
1579604566,853,1023
1579608166,854,1024
1579611766,851,1021
1579618967,850,1020
1579622567,848,1018
1579629767,845,1015
1579637234,847,1017
1579640593,848,1018
1579644194,850,1020
1579647794,849,1019
1579651334,848,1018
1579658593,847,1017
1579661653,846,1016
1579669393,847,1017
1579672993,848,1018
1579687393,846,1016
1579690993,848,1018
1579708994,846,1016
1579712594,847,1017
1579723394,848,1018
1579730534,847,1017
1579734194,845,1015
1579744934,846,1016
1579748594,846,1016
1579752194,845,1014
1579755794,836,995
1579777395,835,994
1579784595,834,993
1579791735,834,993
1579795395,834,993
1579806195,832,991
1579820596,830,989
1579831335,829,988
1579849396,832,991
1579852936,834,993
1579856596,835,994
1579860196,834,993
1579867336,832,991
1579870999,833,992
1579874537,832,991
1579881738,832,991
1579885337,834,993
1579888997,835,994
1579892596,838,997
1579896198,840,999
1579903337,837,995
1579914137,837,995
1579917737,838,996
1579928538,827,984
1579932197,825,982
1579939398,823,980
1579942997,824,981
1579953798,825,984
1579957397,825,984
1579960999,826,985
1579964600,823,982
1579968139,819,978
1579971738,813,972
1579975397,815,974
1579982537,818,977
1579993337,819,978
1579996998,821,980
1580004139,820,979
1580025738,822,981
1580029398,821,980
1580032999,819,978
1580036599,820,979
1580040199,817,976
1580047398,817,976
1580054539,818,977
1580058199,818,977
1580061798,819,978
1580072599,820,979
1580076199,819,978
1580083399,820,979
1580086939,818,977
1580090599,818,977
1580097800,817,976
1580101400,816,975
1580104999,818,977
1580108599,817,976
1580112199,819,978
1580115739,818,977
1580122939,817,975
1580130199,816,974
1580137399,817,975
1580144541,816,974
1580148199,815,973
1580151740,815,973
1580155399,816,975
1580162600,817,976
1580166141,846,1018
1580169801,847,1019
1580177001,846,1018
1580180600,848,1020
1580198601,849,1021
1580202140,850,1022
1580223801,851,1023
1580227340,852,1024
1580231001,851,1023
1580238202,849,1021
1580241741,850,1022
1580249361,849,1021
1580250802,850,1022
1580256141,851,1023
1580259742,852,1024
1580263401,854,1026
1580266941,855,1027
1580270541,856,1028
1580274201,855,1027
1580277741,854,1026
1580281401,853,1025
1580285001,854,1026
1580288601,854,1026
1580303001,855,1034
1580317342,853,1032
1580321002,852,1031
1580324602,851,1035
1580328142,850,1034
1580331802,854,1040
1580335402,853,1051
1580339002,852,1050
1580349802,851,1049
1580357002,851,1050
1580360542,849,1050
1580367803,850,1051
1580371409,849,1050
1580375002,850,1051
1580378602,851,1052
1580382203,852,1053
1580411003,850,1051
1580414604,852,1053
1580418144,853,1055
1580421743,852,1054
1580425404,853,1056
1580428943,854,1057
1580439804,852,1055
1580457744,850,1053
1580472265,851,1054
1580475804,851,1054
1580479344,853,1056
1580483004,854,1057
1580486545,846,1049
1580497405,844,1047
1580508144,842,1045
1580511865,841,1044
1580515464,842,1045
1580523746,840,1043
1580526205,845,1048
1580529744,846,1049
1580533404,846,1049
1580536945,846,1049
1580540605,848,1051
1580551405,850,1053
1580558605,848,1051
1580565805,848,1051
1580569406,849,1052
1580583746,850,1053
1580587405,851,1054
1580591065,850,1053
1580594606,852,1055
1580601806,852,1055
1580605346,851,1054
1580612546,850,1053
1580619746,866,1069
1580626946,866,1069
1580637806,864,1067
1580648606,861,1064
1580652206,860,1063
1580655806,862,1065
1580662946,863,1066
1580666546,852,1073
1580670146,853,1076
1580673806,850,1073
1580680946,848,1071
1580684606,846,1069
1580688146,849,1072
1580691747,848,1074
1580699007,846,1072
1580705127,845,1071
1580709747,844,1070
1580713348,844,1070
1580717007,845,1067
1580724147,843,1065
1580735008,842,1063
1580742207,839,1057
1580756607,840,1058
1580770948,841,1059
1580774608,838,1056
1580781808,837,1055
1580788948,838,1056
1580792609,839,1057
1580799749,839,1057
1580803409,840,1058
1580806948,841,1059
1580810548,840,1058
1580814209,841,1059
1580817809,838,1056
1580832209,836,1054
1580835809,837,1055
1580839409,838,1056
1580843009,837,1055
1580850213,843,1061
1580851252,844,1062
1580857431,845,1063
1580860971,843,1061
1580864572,845,1063
1580875372,844,1062
1580878972,848,1080
1580882572,845,1069
1580886172,845,1069
1580889772,844,1068
1580896972,843,1067
1580900572,842,1066
1580904232,843,1067
1580907772,842,1066
1580911372,841,1065
1580914972,842,1066
1580918572,803,1026
1580922172,801,1024
1580925772,802,1025
1580929373,803,1026
1580943773,805,1028
1580950974,806,1029
1580958173,804,1027
1580961774,803,1026
1580968973,802,1025
1580972573,803,1026
1580979773,801,1024
1580983373,802,1025
1580986974,804,1027
1580990574,804,1027
1580997773,803,1026
1581001373,804,1028
1581008574,803,1027
1581012173,802,1026
1581015774,805,1029
1581019373,805,1029
1581022974,804,1028
1581026634,805,1027
1581030174,802,1024
1581033774,802,1024
1581040975,803,1025
1581044634,802,1024
1581048174,801,1023
1581051774,800,1022
1581055374,801,1023
1581058974,800,1022
1581066174,801,1024
1581073374,801,1024
1581080634,800,1023
1581084174,795,1018
1581094974,796,1019
1581098575,795,1018
1581102175,796,1019
1581105775,797,1020
1581109375,795,1018
1581112975,796,1019
1581120175,797,1020
1581127375,796,1019
1581130975,795,1018
1581134575,794,1017
1581138175,794,1017
1581145375,794,1017
1581152576,796,1019
1581156175,796,1019
1581159776,797,1020
1581163376,795,1018
1581174176,795,1018
1581184976,796,1020
1581188576,800,1024
1581192176,798,1022
1581199376,796,1020
1581202976,797,1021
1581206576,796,1020
1581210176,798,1022
1581224576,796,1020
1581231776,797,1021
1581235376,796,1020
1581242576,794,1018
1581249776,795,1019
1581256977,793,1017
1581264177,791,1015
1581267777,792,1016
1581271377,793,1017
1581274977,794,1018
1581278577,796,1020
1581282177,797,1021
1581285777,796,1020
1581289377,797,1021
1581292977,798,1022
1581296577,801,1033
1581300177,801,1033
1581307377,800,1032
1581314577,800,1032
1581318177,801,1033
1581321777,802,1034
1581325377,800,1032
1581332578,799,1031
1581343378,798,1030
1581350578,798,1030
1581354178,799,1031
1581357778,796,1028
1581361378,797,1029
1581364978,794,1025
1581375778,793,1024
1581393778,851,1082
1581397379,850,1081
1581400978,849,1080
1581411779,851,1082
1581418980,856,1087
1581422579,857,1088
1581426179,858,1089
1581429779,859,1090
1581440580,858,1089
1581444179,859,1090
1581447779,856,1087
1581451388,857,1088
1581454982,858,1089
1581458579,858,1089
1581462179,857,1088
1581465779,858,1089
1581469381,857,1088
1581483780,856,1087
1581487380,857,1088
1581490980,856,1087
1581505381,857,1088
