DateTime,Entries,UniqueIPs
1578902606,1010,1010
1578906146,1012,1012
1578913406,1012,1012
1578916946,1012,1012
1578924206,1011,1011
1578931346,1013,1013
1578935006,1014,1014
1578938606,1014,1014
1578942146,1014,1014
1578945806,1016,1016
1578949346,1016,1016
1578952946,1018,1018
1578956606,1018,1018
1578967406,1019,1019
1578974546,1019,1019
1578978146,1020,1020
1578981747,1020,1020
1578988947,1021,1021
1578992607,1019,1019
1578999747,1020,1020
1579003347,1019,1019
1579006947,1020,1020
1579010547,1017,1017
1579014147,1016,1016
1579017747,1014,1014
1579021347,1014,1014
1579024947,1013,1013
1579028607,1011,1011
1579032207,1013,1013
1579035748,1013,1013
1579039407,1012,1012
1579042948,1016,1016
1579046607,1014,1014
1579053808,1013,1013
1579060949,1013,1013
1579064549,1012,1012
1579068209,1013,1013
1579071748,1015,1015
1579075408,1012,1012
1579089749,1011,1011
1579093348,1011,1011
1579097065,1010,1010
1579100609,1015,1015
1579104208,1018,1018
1579107809,1004,1004
1579111408,1003,1003
1579115008,1002,1002
1579118549,1003,1003
1579121767,1003,1003
1579122187,1004,1004
1579125787,1005,1005
1579129387,1005,1005
1579132987,1006,1006
1579136587,1006,1006
1579140187,1007,1007
1579143788,1001,1001
1579147388,1001,1001
1579150989,1001,1001
1579154529,1007,1007
1579165389,1008,1008
1579176130,1009,1009
1579179730,1006,1006
1579183333,1004,1004
1579186991,1004,1004
1579194192,1006,1006
1579197792,1007,1007
1579204991,1006,1006
1579208592,1001,1001
1579212194,1001,1001
1579215794,1000,1000
1579219392,999,999
1579222993,994,994
1579226593,990,990
1579230193,992,992
1579233792,992,992
1579237393,983,983
1579244593,981,981
1579248195,982,982
1579251792,979,979
1579258933,980,980
1579266192,981,981
1579269793,978,978
1579280593,978,978
1579284194,980,980
1579287794,978,978
1579291393,977,977
1579294935,980,980
1579305733,981,981
1579309394,980,980
1579312994,978,978
1579316593,979,979
1579330993,980,980
1579334533,985,985
1579341793,983,983
1579345334,984,984
1579348994,982,982
1579363394,982,982
1579377795,981,981
1579381394,980,980
1579384994,981,981
1579388534,982,982
1579406594,983,983
1579413735,981,981
1579417395,974,974
1579420996,972,972
