DateTime,AddedIPs,RemovedIPs
1531524781,11,11
1531535582,12,11
1531549981,11,10
1531560781,10,11
1531567981,15,14
1531578782,13,15
1531585982,11,10
1531596782,11,13
1531607582,14,14
1531614781,12,12
1531625582,7,7
1531636381,14,14
1531643581,6,7
1531654382,11,10
1531661582,12,13
1531672381,8,7
1531679581,11,12
1531690381,11,10
1531701181,8,7
1531708382,6,7
1531719182,15,15
1531729982,11,9
1531740782,15,15
1531747982,17,17
1531758782,12,14
1531765981,8,6
1531776782,11,12
1531783981,9,9
1531794782,12,12
1531805582,17,17
1531816382,11,11
1531827182,14,16
1531837981,11,13
1531848781,15,12
1531855981,5,5
1531866781,11,11
1531873981,16,16
1531884782,8,8
1531906382,10,9
1531917182,8,11
1531927981,15,17
1531935181,9,8
1531942381,11,7
1531953181,8,10
1531960381,9,9
1531971181,8,10
1531978381,10,6
1531989181,5,7
1531996381,10,9
1532003582,10,9
1532014381,10,13
1532021581,12,9
1532043181,14,14
1532053981,11,13
1532061181,11,14
1532071981,8,7
1532079182,10,10
1532089982,10,11
1532097181,5,6
1532107982,10,11
1532115182,12,10
1532125981,10,9
1532133181,7,8
1532143981,10,9
1532151181,9,11
1532161982,10,8
1532169181,9,8
1532179981,13,12
1532187181,12,11
1532197981,13,14
1532205181,15,17
1532215981,12,8
1532219581,8,11
1532226781,8,7
1532237582,8,10
1532244783,11,9
1532255582,7,5
1532262781,7,8
1532269982,8,9
1532280781,8,9
1532287981,9,7
1532298782,11,13
1532305981,9,9
1532316781,13,12
1532323982,10,12
1532331182,7,5
1532338381,7,8
1532345581,8,11
1532352781,10,8
1532363581,8,9
1532370781,11,8
1532377981,10,13
1532385182,13,12
1532392381,9,9
1532399581,8,8
1532406782,5,5
1532413981,4,3
1532421181,4,6
1532431981,11,11
1532439181,8,9
1532449982,13,9
1532453581,3,5
1532464382,4,2
1532467981,6,7
1532475181,6,6
1532482381,3,5
1532489581,10,6
1532496781,7,8
1532507581,9,9
1532514781,6,9
1532521981,5,6
1532529182,8,9
1532536381,4,1
1532543582,7,7
1532550782,4,3
1532557982,5,5
1532565181,11,11
1532572382,14,17
1532579581,12,10
1532590382,10,9
1532597581,5,6
1532608381,17,16
1532615581,14,12
1532626381,10,10
1532633581,11,8
1532640781,9,11
1532647981,6,5
1532655182,8,8
1532662382,13,14
1532673181,6,7
1532676781,9,7
1532683981,10,12
1532691181,15,16
1532701981,8,11
1532709181,9,10
1532716382,12,11
1532723581,9,8
1532730782,8,9
1532737981,8,7
1532745181,10,10
1532752381,13,12
1532759582,8,11
1532766782,9,8
1532773981,9,9
1532781182,10,10
1532788382,10,10
1532795581,12,12
1532802782,11,11
1532809981,6,6
1532817181,8,7
1532824381,10,11
1532831582,15,14
1532838781,11,12
1532845981,10,9
1532856781,7,5
1532860382,7,8
1532867581,6,7
1532878381,7,6
1532881981,9,9
1532889182,13,14
1532896381,14,14
1532903581,9,7
1532910781,6,10
1532917981,14,12
1532925182,11,9
1532932381,14,13
1532939581,8,8
1532946782,10,10
1532953981,7,8
1532961181,8,8
1532968382,11,12
1532979181,10,9
1532982782,6,8
1532989981,3,2
1532997181,13,12
1533004381,11,10
1533011581,7,8
1533018782,10,10
1580212826,58,62
1580216425,14,14
1580220026,18,17
1580223025,14,15
1580226625,10,9
1580232781,12,12
1580236381,11,10
1580239981,9,11
1580243581,12,11
1580247181,9,8
1580250781,15,13
1580254381,10,14
1580257981,16,11
1580261581,15,13
1580265181,6,9
1580268782,17,17
1580272382,10,10
1580275981,12,12
1580279582,14,17
1580286782,21,21
1580293982,18,17
1580297581,10,12
1580301181,16,13
1580304781,10,10
1580311981,14,14
1580315582,12,16
1580319181,12,8
1580322781,10,7
1580326381,9,11
1580329982,9,10
